State	Fips	85	90	95	00	05	25
01	079	54.21	55.72	62.14	59.87	67.43	78.228
01	081	16.78	11.45	18.89	16.91	21.51	26.06
01	083	1173.18	649.81	792.26	2120.52	2013.88	3241.196
01	085	2.47	3.43	8.53	2.43	5.97	8.166
01	087	4.69	7.13	6.79	4.78	9.94	11.556
01	089	48.58	56.06	54.01	53.78	70.51	81.536
01	091	54.30	37.86	31.91	23.4	26.79	-6.836
01	093	4.97	5.88	6.60	5.57	7.84	9.43
01	095	16.27	19.84	22.38	19.28	27.06	33.578
01	097	1289.08	1447.80	1105.64	1294.77	1130.94	972.06
01	099	28.71	29.40	63.86	80.51	60.01	120.724
01	101	36.10	40.59	59.98	47	69.73	94.882
01	103	138.57	162.91	140.11	161.63	124.80	128.312
01	105	6.17	8.03	8.29	3.63	12.39	12.526
01	107	4.56	5.44	6.19	3.37	5.67	5.136
01	109	9.92	8.89	11.83	7.13	6.99	4.38
01	111	2.19	3.69	2.20	2.24	2.78	2.458
01	113	37.36	38.04	34.13	31.72	43.72	40.834
01	115	6.56	10.26	8.67	8.12	21.01	26.98
01	117	852.47	878.33	720.03	779.74	833.25	730.546
01	119	4.22	5.11	9.58	2.29	10.27	11.862
01	121	71.57	84.29	77.21	93.32	78.28	94.404
01	123	13.00	14.58	13.07	11.3	14.64	13.318
01	125	29.12	33.30	37.24	34.84	36.02	43.308
01	127	865.91	1041.61	906.72	692.81	969.46	810.282
01	129	49.82	73.54	86.46	123.89	99.17	176.006
01	131	21.09	21.35	43.01	24.25	23.65	31.482
01	133	2.32	5.82	2.65	0.81	1.92	-0.782
02	013	70.57	71.63	3.40	3.26	3.39	-91.188
02	016	70.57	71.63	3.26	4.89	4.75	-88.008
02	020	50.60	50.75	45.21	41.85	107.70	122.402
02	050	0.27	0.45	0.37	0.24	0.45	0.446
02	060	1.38	2.14	0.08	0.18	0.17	-1.838
02	068	70.57	71.63	16.69	13.76	16.22	-62.168
02	070	0.66	0.71	0.30	0.37	0.83	0.574
02	090	32.69	33.83	32.02	43.31	38.26	48.394
02	100	0.24	0.27	0.51	0.57	3.54	5.166
02	110	41.67	5.10	4.65	4.25	603.66	805.744
02	122	70.57	71.63	9.01	8.67	27.35	-52.194
02	130	80.19	50.80	54.11	6.67	14.25	-64.402
02	150	8.17	6.47	5.26	6.31	9.44	8.558
02	164	70.57	71.63	0.09	0.47	0.43	-98.226
02	170	8.63	5.70	5.66	4.38	6.66	3.05
02	180	1.37	1.47	1.25	0.94	0.63	-0.074
02	185	70.57	71.63	116.04	140.33	175.72	282.258
02	188	70.57	71.63	6.37	7.13	8.04	-80.988
02	201	70.57	71.63	1.48	2.58	1.98	-94.09
02	220	77.69	61.23	5.12	1.3	9.06	-87.434
02	232	70.57	71.63	0.39	1.28	0.72	-97.112
02	240	0.99	0.83	2.66	2.51	0.67	2.156
02	261	70.57	71.63	4.52	4.48	13.08	-76.422
